timestamp,pm1_mean,pm1_err,pm25_mean,pm25_err,pm10_mean,pm10_err
1777068799.1618266,2.0,0.0,3.0,0.0,4.0,0.0
1777068803.1612256,3.0,0.0,4.0,0.0,4.0,0.0
1777068807.1877384,2.5,0.5,3.5,0.5,4.0,0.0
1777068811.177142,2.0,0.0,3.0,0.0,4.0,0.0
1777068815.1774397,2.0,0.0,3.0,0.0,4.0,0.0
1777068819.1972518,2.0,0.0,3.0,0.0,4.0,0.0
1777068823.187278,2.0,0.0,3.0,0.0,4.0,0.0
1777068827.228595,2.0,0.0,3.0,0.0,4.0,0.0
1777068831.235242,2.0,0.0,3.0,0.0,4.0,0.0
1777068835.2483482,2.0,0.0,3.0,0.0,4.0,0.0
1777068839.247165,2.0,0.0,3.0,0.0,4.0,0.0
1777068843.272339,2.0,0.0,3.0,0.0,3.5,0.5
1777068847.2951558,2.0,0.0,3.0,0.0,3.0,0.0
1777068851.2970622,2.0,0.0,3.0,0.0,3.0,0.0
1777068855.280506,2.0,0.0,3.0,0.0,3.0,0.0
1777068859.299005,2.0,0.0,3.0,0.0,3.0,0.0
1777068863.2929099,2.0,0.0,3.0,0.0,3.0,0.0
1777068867.2995605,2.0,0.0,3.0,0.0,3.0,0.0
1777068871.3270314,2.0,0.0,3.0,0.0,3.0,0.0
1777068875.370531,2.0,0.0,3.0,0.0,3.0,0.0
1777068879.3624642,2.0,0.0,3.5,0.5,3.5,0.5
1777068883.3566623,2.0,0.0,4.0,0.0,4.0,0.0
1777068887.4003277,2.0,0.0,5.0,0.0,5.0,0.0
1777068891.4119244,2.0,0.0,5.0,0.0,5.0,0.0
1777068895.4008512,2.0,0.0,5.0,0.0,5.0,0.0
1777068899.4216666,2.0,0.0,5.0,0.0,5.0,0.0
1777068903.4129064,2.5,0.5,5.0,0.0,5.0,0.0
1777068907.463258,3.0,0.0,5.0,0.0,5.0,0.0
1777068911.4712088,3.0,0.0,5.0,0.0,5.0,0.0
1777068915.45968,3.0,0.0,5.0,0.0,5.0,0.0
1777068919.4534078,3.0,0.0,5.0,0.0,5.0,0.0
1777068923.5000436,3.0,0.0,5.0,0.0,5.0,0.0
1777068927.5009246,3.0,0.0,5.0,0.0,5.0,0.0
1777068931.4997106,3.0,0.0,5.0,0.0,5.0,0.0
1777068935.5486803,3.0,0.0,6.0,0.0,6.0,0.0
1777068939.5400972,2.5,0.5,5.0,1.0,5.5,0.5
1777068943.5414698,2.0,0.0,4.0,0.0,5.0,0.0
1777068947.581582,2.0,0.0,4.0,0.0,5.0,0.0
1777068951.5848014,2.0,0.0,4.0,0.0,5.0,0.0
1777068955.6025646,2.0,0.0,4.0,0.0,5.0,0.0
1777068959.5734224,2.0,0.0,4.0,0.0,5.0,0.0
1777068963.6257772,2.0,0.0,4.5,0.5,5.0,0.0
1777068967.5965729,2.0,0.0,5.0,0.0,5.0,0.0
1777068971.6321912,2.0,0.0,5.0,0.0,6.0,0.0
1777068975.6361597,2.0,0.0,5.0,0.0,6.0,0.0
1777068979.6301296,2.0,0.0,5.0,0.0,6.0,0.0
1777068983.6810486,2.0,0.0,5.0,0.0,6.0,0.0
1777068987.686349,2.0,0.0,5.0,0.0,6.0,0.0
1777068991.6790016,2.0,0.0,5.0,0.0,6.0,0.0
1777068995.6815984,2.0,0.0,4.0,0.0,5.0,0.0
1777068999.7329257,2.0,0.0,4.0,0.0,5.0,0.0
1777069003.7051706,2.0,0.0,4.0,0.0,5.0,0.0
1777069007.707219,2.0,0.0,4.0,0.0,5.0,0.0
1777069011.7473128,2.0,0.0,4.0,0.0,5.0,0.0
1777069015.7623122,2.0,0.0,4.0,0.0,5.0,0.0
1777069019.7757618,2.0,0.0,4.0,0.0,5.0,0.0
1777069023.7664733,2.0,0.0,4.0,0.0,5.0,0.0
1777069027.815248,2.0,0.0,4.0,0.0,5.0,0.0
1777069031.8178315,2.0,0.0,4.0,0.0,4.0,0.0
1777069035.813182,2.0,0.0,4.0,0.0,4.0,0.0
1777069039.8565605,2.0,0.0,4.0,0.0,4.0,0.0
1777069043.8332312,2.0,0.0,4.0,0.0,4.0,0.0
1777069047.8795288,2.0,0.0,3.5,0.5,4.0,0.0
1777069051.8467872,2.0,0.0,3.0,0.0,4.0,0.0
1777069055.8876946,2.0,0.0,3.0,0.0,5.0,0.0
1777069059.8957918,2.0,0.0,3.0,0.0,5.0,0.0
1777069063.8999329,2.0,0.0,3.0,0.0,5.0,0.0
1777069067.8828366,2.0,0.0,3.0,0.0,5.0,0.0
1777069071.890056,2.0,0.0,3.0,0.0,5.0,0.0
1777069075.9039662,2.0,0.0,3.0,0.0,5.0,0.0
1777069079.9494712,2.0,0.0,4.0,0.0,5.0,0.0
1777069083.9634585,2.0,0.0,3.5,0.5,5.0,0.0
1777069087.9767778,2.0,0.0,3.0,0.0,5.0,0.0
1777069091.9616852,2.0,0.0,3.0,0.0,5.0,0.0
1777069096.0032787,2.0,0.0,3.0,0.0,4.5,0.5
1777069099.9704208,2.0,0.0,3.0,0.0,4.0,0.0
1777069103.9946373,2.0,0.0,3.0,0.0,4.0,0.0
1777069107.984907,2.0,0.0,3.0,0.0,4.0,0.0
1777069112.0174744,2.0,0.0,3.0,0.0,4.0,0.0
1777069116.0191412,2.0,0.0,4.0,0.0,4.0,0.0
1777069120.06666,2.0,0.0,4.0,0.0,4.0,0.0
1777069124.0798798,2.0,0.0,4.0,0.0,4.0,0.0
1777069128.0675757,2.0,0.0,4.0,0.0,4.0,0.0
1777069132.1049414,2.0,0.0,3.5,0.5,4.0,0.0
1777069136.095362,2.0,0.0,3.0,0.0,4.0,0.0
1777069140.077742,2.0,0.0,3.0,0.0,3.0,0.0
1777069144.098736,2.0,0.0,3.0,0.0,3.5,0.5
1777069148.138305,2.0,0.0,3.0,0.0,4.0,0.0
1777069152.117125,2.0,0.0,4.0,0.0,5.0,0.0
1777069156.1675477,2.0,0.0,3.5,0.5,5.0,0.0
1777069160.1421642,2.0,0.0,3.0,0.0,5.0,0.0
1777069164.1717718,2.0,0.0,4.0,0.0,5.0,0.0
1777069168.158724,2.0,0.0,4.0,0.0,5.0,0.0
1777069172.1896603,2.0,0.0,4.0,0.0,5.0,0.0
1777069176.175302,2.0,0.0,4.0,0.0,4.0,0.0
1777069180.1863365,2.0,0.0,3.5,0.5,4.0,0.0
1777069184.2161274,2.0,0.0,3.0,0.0,4.0,0.0
1777069188.2209287,2.0,0.0,4.0,0.0,4.0,0.0
1777069192.245952,2.0,0.0,4.0,0.0,4.0,0.0
1777069196.2341115,2.0,0.0,4.0,0.0,4.0,0.0
1777069200.2720158,2.0,0.0,4.0,0.0,5.0,0.0
